manufacturericao,typecode,speed
AIRBUS,32N,222
AIRBUS,330-243MRTT,222
AIRBUS,A19N,231
AIRBUS,A20N,231
AIRBUS,A21N,231
AIRBUS,A306,242
AIRBUS,A30B,242
AIRBUS,A310,247
AIRBUS,A318,237
AIRBUS,A319,231
AIRBUS,A319-111,231
AIRBUS,A320,231
AIRBUS,A320-200,231
AIRBUS,A320-214,231
AIRBUS,A320-251N,231
AIRBUS,A320-271N,231
AIRBUS,A321,231
AIRBUS,A32N,231
AIRBUS,A330,231
AIRBUS,A332,242
AIRBUS,A333,244
AIRBUS,A337,244
AIRBUS,A338,244
AIRBUS,A339,244
AIRBUS,A342,252
AIRBUS,A343,252
AIRBUS,A345,246
AIRBUS,A346,247
AIRBUS,A350,247
AIRBUS,A359,252
AIRBUS,A35K,252
AIRBUS,A388,268
AIRBUS,A400,217
BOEING,B138,222
BOEING,B17,222
BOEING,B29,222
BOEING,B38M,222
BOEING,B39M,222
BOEING,B701,242
BOEING,B712,224
BOEING,B721,247
BOEING,B722,232
BOEING,B732,206
BOEING,B733,221
BOEING,B734,221
BOEING,B735,221
BOEING,B736,237
BOEING,B737,237
BOEING,B738,237
BOEING,B739,237
BOEING,B741,257
BOEING,B742,254
BOEING,B743,262
BOEING,B744,262
BOEING,B748,262
BOEING,B74R,257
BOEING,B74S,252
BOEING,B752,242
BOEING,B753,252
BOEING,B762,242
BOEING,B763,237
BOEING,B764,237
BOEING,B772,247
BOEING,B773,252
BOEING,B77F,252
BOEING,B77L,252
BOEING,B77W,252
BOEING,B783,242
BOEING,B787,242
BOEING,B788,242
BOEING,B789,242
BOEING,B78X,242
BOEING,BLCF,222
BOEING,BTX1,222
BOEING,C135,232
BOEING,E3CF,216
BOEING,E3TF,216
BOEING,E6,216
BOEING,E737,236
BOEING,K35R,226
BOEING,P8,222
BOEING,R135,247
BOEING,b737,180
LEARJET,LJ31,232
LEARJET,LJ35,226
LEARJET,LJ40,232
LEARJET,LJ45,232
LEARJET,LJ55,206
LEARJET,LJ60,234
LEARJET,LJ70,234
LEARJET,LJ75,234
RAYTHEON,B190,128
RAYTHEON,B350,154
RAYTHEON,BE20,138
RAYTHEON,BE30,82
RAYTHEON,BE33,82
RAYTHEON,BE36,82
RAYTHEON,BE40,216
RAYTHEON,BE58,90
RAYTHEON,GLEX,252
RAYTHEON,H25B,206
RAYTHEON,H25C,232
RAYTHEON,HA4T,232
RAYTHEON,PRM1,232
RAYTHEON,STAR,232
RAYTHEON,TEX2,232
